JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000146842	3062.913	3772.541	3002	2348.023	3290.791	4665.245	3600.196	4308.681	3296.297	2549.136	3844.552	3484.895	2498	2201.751	3011.543	2404.23	2570.138	3030.455	2577.616	3054.171	2730.348	871.599	1076.845	1097.195	1102.752	791.322	708.719	1181.063	1014.432	1415.208	2379.976	1233.17	1033.1
ENSG00000146856	74	103.999	129	38.001	119.001	99	139	214	115.999	108.999	58.999	113.999	80	100	103	113	91	122	68	46	79.002	190.15	234.001	265.999	239.398	98	392.001	157	279.001	63	68	31.999	27.001
ENSG00000146857	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	4	1	3	1	0	0	2	2	4	3	3	0	1	5	0	0	0	0
ENSG00000146858	138	195	245.106	86.072	93.048	160.959	155.008	233	233.219	87	187	211.001	70	91	119	107	155	109	151	111	108	340	392.942	302	466	287	298	485	417	197	339	338	385.003
ENSG00000146859	2	9	8	5	4	3	9	4	9	7	5	4	6	1	6	4	7	7	0	4	10	1660.536	1794.79	2152.349	1936.811	279.556	1228.459	650.933	1403.597	550.146	130	125	45
ENSG00000146872	5309.167	6216.212	5938.608	4343.34	4784.652	5417.101	4705.338	6632.432	5118.6	4310.826	6453.699	5429.47	4387.549	4839.434	5308.481	5026.415	5748.46	5510.876	4262.079	4583.482	4687.129	1398.227	1566.698	1811.926	1644.353	1041.255	1371.316	1590.818	1353.468	2855.72	4411.199	3416.908	4067.58
ENSG00000146904	25294.725	22238.652	22134.733	21315.634	25041.542	24246.025	23762.055	27212.727	21021.064	19450.478	16266.734	20349.387	19025.722	15090.228	14896.303	17525.477	19474.732	17958.355	17731.916	14016.477	17774.004	6	8	11	5	17.027	10.081	9	7	0	1	9	1
ENSG00000146909	4090.47	4855.618	3595.002	3435.187	4574.983	3874.257	4109.557	6932.785	4592.934	3605.958	4074.593	4732.734	3605.062	4880.514	4553.726	3954.285	4052.531	4697.126	3902.428	3954.406	4754.846	826.901	1004.955	1237.111	1460.69	982.715	907.524	1445.837	1171.576	1637.126	2909.438	1926.741	2239.999
ENSG00000146910	17	12	0	19	42	56	12.007	34	16	79.049	38.001	12	132.589	113	122	38	30.014	53	92	80.001	90.014	0	0	1	0	1	2	2	0	0	0	0	0
ENSG00000146918	12968.979	13888.187	11233.014	10258.469	14425.769	15096.171	13983.413	20808.805	14483.53	10158.283	18139.066	13618.583	9311.845	10664.471	8046.135	9976.717	10954.012	10002.96	8567.861	7159.714	8576.938	1597.695	1906.001	2126	2504.001	1412.005	1348.844	2769.02	1864.472	1128.903	8629.488	1451.031	4557.324
ENSG00000146926	3	1	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000146938	9516.496	10707.526	14801.828	7369.678	14139.255	22078.842	15110.04	17528.11	12545.398	10927.844	7034.725	15024.203	10197.504	9505.275	8174.692	19306.688	28885.212	20616.547	11481.253	10597.9	10208.676	0	9.88	1.092	1.05	0	0	9.826	4.597	35.477	0	12.105	18.178
ENSG00000146950	1718.15	1576.05	1783.001	1389.034	1738	1667.564	1783	2048.583	1591	2058.639	2671.216	1669.352	2421.002	2118.189	2011.004	1967.345	2469.806	2067.061	2010.62	1750.121	2270.246	1	7	12	5	5	1	7	7	8	57	530.003	15
ENSG00000146955	51.011	105	114	38	80	93	104	106	144	129	166	154.023	107	155.162	115	100	144	109.022	111	91.001	125	0	3	0	1	0	0	2	0	0	0	0	0
ENSG00000146963	9163.217	7767.21	6720.374	7772.61	8040.007	8454.949	9058.686	12396.997	7763.662	7988.046	7956.177	7591.092	7520.314	7998.705	8572.055	6937.034	6966.023	7733.616	7830.549	6968.805	9119.803	3010.243	3643.203	3911.299	4024.251	3077.999	3556.197	3933.085	2924.857	3886.578	8511.374	6235.578	5466.097
ENSG00000146966	1346.47	1749.001	971	858.23	1171.594	1502.048	915	1197.069	1224	1072.002	1123	1106.342	1253	1283.365	785.999	1151.101	1361.133	1354.288	1231.001	1204	1328.911	3	7.419	15.865	10.176	5.017	3.529	5.231	9.737	616.667	778.327	46	221
ENSG00000147003	239.659	196.173	87.073	218.769	199.815	275.543	186.742	295.857	185.979	137.609	215.467	152.31	183.886	242.352	104.281	169.488	199.013	186.045	193.617	132.562	118.375	11.653	6	4.141	23.02	2	9.368	3.511	6.091	4	13.713	0	0
ENSG00000147010	3531	2852.972	1558.135	2750.319	1918.321	2117.729	2063.233	3608.095	2680.078	2198.446	3234.732	2531.082	2730.863	3361.99	1413.545	1931.375	2427.847	2210.26	2035.581	1812.735	1790.987	7869.5	8688.725	9441.309	8756.77	5736.801	7825.414	8095.26	7433.456	10891.325	12277.149	8768.397	7176.626
ENSG00000147027	5365.186	4522.787	3063.807	4337.391	4748.592	5104.797	4158.551	8416.305	5972.106	3964.51	4976.149	5443.072	3655.432	4397	3783.095	8706.046	12384.842	12064.262	4005.692	3912.094	3949.28	5	4	65	6	6	4	17	1	7692.064	63571.799	45021.397	38264.2
ENSG00000147036	26	40	19	19	26	39	17	13	30	36	52	22	36	19	26	33	44	40	75	60	81	4.324	6.819	6	6.559	10.081	1	5.001	8.528	4	1	0	0
ENSG00000147041	167	186.009	137	115	90	68	29	114	136	8	140	132	48	20	24	119	66	133.002	29	15	38	1	0	2	5	0	0	0	14	0	6	0	1
ENSG00000147044	7909.593	7445.629	5644.891	6381.868	6993.689	8496.949	8513.517	12060.975	8095.733	8121.144	7737.214	7635.76	7205.001	7364.241	6139.998	9846.533	11760.544	12695.863	7660.372	6411.94	7508.462	351.083	761.132	927.761	646.532	218.538	153.961	555	1421.751	3238.669	4308.783	2960.359	2862.881
ENSG00000147050	20336.978	12459.009	8997.333	15493.859	5994.037	6316.054	6846.497	14519.894	15109.693	6004.888	10779.715	9979.915	7316.989	6514.197	5935.125	13823.172	16190.791	22447.393	7492.138	6311.181	6233.652	961.999	952.043	1053.558	1128.029	734.998	686.404	822.053	862.181	1057.002	1995.999	1449.186	1329.108
ENSG00000147059	120.782	230.264	291.237	123.848	272.771	329.929	484.178	405.048	318.635	322.917	206.812	335.103	200.835	120.696	198.348	277.574	333.206	193.05	204.906	184.775	170.97	38.883	58.592	54.935	43.247	24.541	46.18	33.829	27.474	156.891	127.603	63.652	85.239
ENSG00000147065	43695.397	38240.496	29693.77	36882.422	36399.252	38334.16	37557.587	55327.039	42174.131	17378.028	33647.543	37264.929	19652.26	17036.102	12573.45	22247.503	22479.466	22706.02	15952.204	13723.068	17015.206	19451.452	20236.408	28276.62	21075.595	17127.228	15380.651	24236.017	18266.068	28294.13	122544.05	59145.167	78392.85
ENSG00000147081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147082	16	28	21	23	16	53	38	30	39	11	55	30	24	34	23	16	26.001	25	29	24	17	11	6	9	15	2	2	7	11	20	15	6	7
ENSG00000147099	1434.54	1359.759	1149.5	1092.323	1517.598	1809.359	1802.54	2023.953	1434.183	1544.743	1677.917	1438.08	1274.66	1127.968	1048.813	1018.692	1106.937	917.704	1129.911	1095.823	1272.978	587.246	740.418	833.658	790.174	628.163	743.448	627.286	721.538	887.541	1125.778	1047.212	1166.999
ENSG00000147100	5331.3	3815.242	3138.569	4094.84	3901.312	5601.958	3631.404	5025.522	3663.759	6573.573	4415.418	3186.905	7169.681	5316.885	4644.53	3720.349	4010.241	3552.69	6965.966	6138.342	7329.005	0	2	21	4	1	1	5	3	2368.419	12379.101	4095.898	4173.171
ENSG00000147113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.028	1.025	0	0	0	0	4.074	0	0	0	0	0
ENSG00000147117	67	85	77	52	48	104	74	152	103	32	83	91	54	60	59	45	67	48	63	68	60	7.084	15.009	9.01	4.008	8.098	11.074	6.02	10.001	1	0	7	0
ENSG00000147118	1654.5	1240.02	785	1277.815	1192.085	1144.825	1159.274	1873	1351	1062.269	1484.863	1026	1121.255	1137.21	604.014	819	817.235	703.051	1138.056	669	850.912	412.529	488.244	473.875	549.629	261.799	459.059	395	421.805	387	636	351	412.229
ENSG00000147119	1669.57	1680.043	2223	1390.862	1362.048	1255.019	1898.042	1992.767	1670.254	1155.311	1148.1	2247.43	1454.055	863	951	1868.873	2033.102	1791	1177.093	1031.607	1175.99	208.084	324	300	374	186.058	245	327	260.407	217.489	919	730	463
ENSG00000147121	688.423	588.425	836.317	611.077	680.126	764.879	924.856	1015.474	866.443	855.834	843.3	713.97	800.526	535.788	667.883	598.05	706.363	646.786	685.518	614.417	637.249	270.431	377.367	367.7	399.786	266.347	432.713	390.807	285.235	845.005	1283.923	1047.215	798.76
ENSG00000147123	6140.55	6089.266	5448.761	5582.339	5314.115	5549.684	5623.835	7135.558	5931.549	5127.597	4812.458	4711.224	5066.711	4194.583	4249.837	4886.166	6166.817	6016.37	4095.998	4159.806	5091.685	1212.557	1509.316	1512.46	1846.585	1315.897	1741.208	1656.164	1324.294	2707.309	3523.873	3476.84	2899.536
ENSG00000147124	482	474.069	460.328	398.999	705	578.005	874	983.048	706	582	625	571	694.001	677	496	656.566	572.407	483	681	398.001	631.003	297	392	406	391.277	159	228.999	334.016	362	731.013	1560.082	1354	855.17
ENSG00000147127	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.016	2.006	9.026	7	7.002	6	7	4.008	0	0	0	2
ENSG00000147130	11307.932	11394.245	11349.071	9530.879	12865.686	14376.31	11747.973	17442.628	12731.023	8902.08	18664.574	12317.772	7398.156	8913.995	7213.347	8217.061	9792.825	7776.802	9390.756	8118.531	9136.108	2039.263	2178.441	2285	2225.835	1507.162	1829.614	2248.607	1917.458	2542.668	3975.897	2519.014	2562.419
ENSG00000147133	3701.42	3107.134	3019.263	2911.814	3565.418	3222.296	3555.488	5005.544	4148.749	2790.127	5125.395	3552.676	4016.172	5077.891	3767.652	2935.471	3048.103	2526.007	3799.997	2622.564	3197.117	1919.238	1828.987	2060.319	2205.98	1430.034	1787.082	1593.624	1535.872	2762.001	4772.027	3422.814	3334.786
ENSG00000147138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	684	1252.17	1205.813	528	329.677	341	359	1341.765	0	0	1	0
ENSG00000147140	60101.699	61557.064	63948.062	51277.498	69048.296	64490.061	81256.463	102499.692	76143.822	68815.862	86046.349	72780.811	62009.472	69682.71	66290.859	57518.513	62978.897	58564.263	62187.402	56045.069	68171.995	9263.817	11395.706	12200.98	12681.369	10444.152	10419.938	15335.88	10888.982	23160.321	36649.383	21527.597	23066.693
ENSG00000147144	1898.481	1699.108	2705.023	1653.511	1827.58	1662.001	1808.003	2487.616	2022.163	1320.706	2269.305	2107.01	1432.006	1499	1652.645	1850.021	1913.156	1722.195	1220.192	1138.601	1140	220	247	228.001	278	170	248	238	202	419	369	171	257
ENSG00000147145	393.891	434.001	545.001	326	465	521.016	395.011	788	642.001	210.001	821.124	573	302	283	284.999	447.139	366.065	415	320	225.001	265	1	1	3	0	0	1	2	0	31	2	30	8.002
ENSG00000147155	10549.115	7069.939	5604.368	9573.21	4857.498	5651.923	4985.302	7180.57	5370.272	5169.998	4693.306	5447.269	6018.969	3457.885	4054.504	4243.719	4908.191	4946.29	3590.013	3584.514	4754.798	944.918	1465.752	1537.842	1486.266	733.527	1594.16	2597.66	1109.508	2049.001	1314.145	1255.807	1217.813
ENSG00000147160	0	0	0	4	1	2	0	3	1	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	3	0	0	0	0	0	1	0	2
ENSG00000147162	21250.591	19157.773	14992.505	18179.316	17625.547	21195.901	14646.113	27085.324	21710.467	14256.448	24273.336	19281.28	15885.499	22533.564	14976.211	13257.145	12575.795	10573.848	16912.986	14056.259	14563.931	15926.651	16121.591	19374.667	28427.087	13233.62	21660.597	13671.203	16510.621	12486.333	26900.429	22475.794	19184.49
ENSG00000147164	6295.761	6278.681	5413.242	5414.738	5619.512	4923.49	6867.168	8542.722	6348.497	5915.11	6543.869	5762.656	5100.826	4962.979	4705.458	4715.174	5394.651	5553.93	5204.029	4367.85	5537.725	826.001	1045.229	1151.717	1125.07	691.508	691	1012.741	867.043	5872.443	7167.267	6069.623	6595.03
ENSG00000147166	106	97.051	118	68	111.003	92	100	240	130	99	106.628	132	125	234.999	167.001	121.001	108	101	154.016	148	148	33.999	40.046	58	64	37.001	103.999	97.999	77	8	39.999	37.001	109
ENSG00000147168	0	1	1	3	0	3	0	3	2	0	5	7	0	3	1	0	0	0	3	0	1	5412.667	6421.187	6449.407	6982.087	4165.713	6278.329	4800.273	6315.284	0	1	0	1
ENSG00000147174	292	207	84	235.017	122	121.916	115	182	135.001	98	184.001	119	90.001	110	85.999	131	128	157.048	109	78.001	99	57.134	98.214	99.069	126.046	31.008	63.231	77	72	134	354	307	199.024
ENSG00000147180	4503.799	3551.217	2946.632	3567	3486.118	4101.111	2972.451	4712.559	3739.121	2719.237	4542.386	3215.32	3298.446	3268.999	2294.064	2351.512	2448.544	1988.178	3000.365	2646.137	2919.46	320.004	32	114	336	386	497.251	549	610	289	88	50	49
ENSG00000147183	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147202	3559.084	3967.641	3349.223	2607.155	3017.366	3431.32	3208.148	7135.304	4794.239	2958.56	4218.692	3767.719	2766.47	5984.985	5244.945	8606.542	8744.798	11492.161	3307.57	3044.116	3750.439	641	525.844	666.999	614.999	339.079	512.001	604.999	560	2069.253	3406.996	2061.567	2110.823
ENSG00000147206	2	2	2	1	2	0	3	3	2	0	0	5	0	0	1	2	0	0	0	0	3	0	0	1	0	0	6	2	1	0	20	1	10
ENSG00000147223	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000147224	13248.936	12842.803	9576.506	11126.534	11386.966	11988.82	13488.855	18623.942	13420.931	12486.561	12188.198	12504.599	14074.082	14004.203	12254.034	15731.21	16687.426	23889.904	11451.844	9558.166	12179.305	1069.584	1204.119	1372.413	1405.908	1196.446	951.293	1799.246	1208.849	2935.474	13074.352	13257.767	12313.375
ENSG00000147231	554.081	691.208	566	417.001	496	648.287	434.061	679.006	527	378.181	631.999	527.999	433.032	294.001	337.999	429	565.984	599.032	287.863	337.4	392.012	453.376	274.076	383.241	525.276	186.202	457.015	522.026	438	320	168	26	65
ENSG00000147234	202	120.003	57	156	176	300.029	129	278	209	447	116.001	126	537	402.002	252	323	317	395	337	261.003	304	1.192	20.123	2.548	0	2.04	3.023	9	3.004	14	194.999	133	103
ENSG00000147246	595.016	287	146	644.119	308	539.079	94	249	284.039	460.008	175.003	150	469	575	247	410.029	529	417	473	344.999	355.268	0	0	0	3	1	0	0	0	0	0	0	0
ENSG00000147251	1690.211	1694.004	1096.088	1441.001	1645.068	2069.092	1018.306	1763.617	1531.001	1754.361	1997.134	1198	1843.328	2219	1512.001	1031.971	1414.119	1137.063	2116.036	1900.195	2049.628	1268.248	1589.162	1853.66	1567.61	858	950	1574.003	1095	3200.137	3152.001	1998.001	2587.481
ENSG00000147255	5198.748	3833.612	2824.802	4046.277	3605.823	6308.396	5679.36	8506.439	5637.614	1923.328	5703.49	4273.003	1980	2412.357	1716.136	2074.307	2787.571	2225.681	2148.303	1947.069	2104.017	9	93.018	9	36.277	0	1.007	6.02	13.056	0	0	0	1
ENSG00000147256	76	67	45	61	64	89	41	51	35	30	61	32	27	7	16	14	16	10	10	30	30	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000147257	10900.685	11916.983	11265.101	8437.996	9493.217	12535.34	7195.932	12205.896	10001.865	5250.1	18110.1	11933.343	4663.968	4034.021	4175.866	5100.552	5855.221	4863.016	5100.851	4014	4085.402	0	0	2	3	2	0	0	0	472.998	15	5	5
ENSG00000147262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000147274	37161.239	44161.116	43532.194	27019.666	35710.354	50453.426	39775.791	63900.231	45435.436	36975.709	50111.878	43884.774	44109.641	36648.601	39817.062	35544.68	32904.587	41878.825	35739.015	36676.627	39626.331	5475.171	6958.664	7486.2	7351.913	6766.312	6047.367	9244.897	7152.926	9176.096	16055.51	8490.666	11036.302
ENSG00000147316	1794.001	2030.997	1742	1527	1905.001	2285.915	3007.178	3872.864	2632.965	2241.082	2476.195	2700.002	2150.423	2382.319	2472.34	2288.036	2288.782	2426	2080.279	1867.003	2039.179	1065.963	882.595	1088.87	1198.034	913.183	726.927	1043.04	1181.996	1336.001	1858.119	1234.002	1129.009
ENSG00000147324	5504.571	6267.307	5429.79	4658.42	5506.117	6682.291	5922.966	9350.176	6332.668	6060.605	11630.289	6739.721	5901.192	6053.191	5359.106	4809.673	5112.593	5245.996	5291.322	4687.175	6168.305	1837.244	2062.498	1874.038	1518.157	1124.801	1222.04	1162.415	1401.246	1574.098	1481.875	720.366	1439.72
ENSG00000147364	1032.099	775.508	573.02	945	763.002	1005.122	693.692	1311.995	1061.135	1167.999	856.007	651.087	1102.083	1184.824	554.999	455	1158.461	550.004	1173.074	754.999	812.052	427.972	530.882	521.87	663.916	480.196	630.51	488.053	423.636	2240.3	2926.267	1883.011	1854.214
ENSG00000147378	12	17	13	11	9	18	14	24	23	13	2	10	2	12	2	3	4	10	1	4	5	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000147381	113	70	18	64	23	267	52	79	161	32	39	20	148	128	58	559.059	289.001	114.999	123.999	51	68	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147383	4804.834	4264.71	5134.641	4179.93	2986.779	2742.004	3351.342	4331.741	3347.961	2839.236	2705.385	3525.149	2582.57	1722.069	2741.885	3176.988	2983.302	3383.567	2255.169	2296.964	2796.685	519	603	784.574	703.251	479.313	701	944.531	635	2220.151	2220.001	1045.017	1245.123
ENSG00000147394	3946.798	3649.151	1974	3115.1	2591.526	3818.106	1582.011	3571.808	3144.633	1210	4100.585	2377	1503	1432.403	951	1480.123	1451.546	1638.999	2366.15	2073	1716.999	30	26	45	74	14	45	31	24	146	4339.565	635	202
ENSG00000147400	4536.362	4507.719	3452.525	3871.417	3059.337	2998.107	3115.008	3852.627	2871.138	2963.22	3133.474	2692.327	2809.262	2109.08	2294.277	2312.772	2359.332	2777.288	2123.002	2227.921	2500.21	309	397	446	472	369	338	506.912	488.388	3253.617	6560.134	4613.744	3734.478
ENSG00000147403	91214.51	85288.845	74233.873	82392.471	72980.496	75672.695	92341.925	117927.441	90511.181	89252.487	82793.992	79373.966	75376.421	66650.411	63317.408	63724.714	79388.993	76250.334	72841.591	62339.883	80008.744	31588.425	37229.27	33874.933	41868.95	52104.701	48933.319	39168.62	34384.893	124554.292	79828.133	92933.475	90219.77
ENSG00000147408	33	24	14	24	26	35	27	70	68	13	47	45	4	7	11	28	51	18	7	2	3	7	11	68	4	8	1	6	16.165	127	85	55	415.033
ENSG00000147416	7338.24	8114.311	7489.471	6389.419	8056.552	9645.796	11465.272	15765.432	11395.579	9659.67	9747.031	9807.665	8000.429	7957.367	7334.389	6839.064	7625.06	7297.833	7374.706	6642.483	8695.525	1981.242	2190.855	2933.783	2303.065	1340.362	1179.378	1935.198	1749.303	16587.189	10011.646	12602.79	9920.145
ENSG00000147419	7205.604	8610.755	5511.697	5684.268	7022.13	8482.389	5708.603	8991.747	6920.755	5315.452	7524.072	6245.668	6058.787	6509.072	6493.046	5352.435	5585.6	6891.109	6583.851	6113.768	6842.112	1141.998	1203.276	1486.284	1445.999	1040.001	988.037	1809.033	1315	3646.822	4051.096	3410.736	2761.174
ENSG00000147421	419.999	335.861	361	392	389.038	453	478.106	629	583.008	382	486.189	357.999	420.006	438	251	409.639	354.006	331	388	283.002	332	1270.547	1325.452	1061.211	1332.882	578.003	885.44	666.998	739.109	511.001	507	412	454
ENSG00000147432	0	0	1	0	0	4	0	0	0	3	3	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000147434	2	6	0	3	4	20	5	7	16	4	8	9	3	7	4	1	2	3	3	1	1	13.01	90	156.234	44	18	86	99	99	1	0	0	0
ENSG00000147437	238	143.105	43	276	127	223.001	109	186	114.033	151	176.048	89	145	239	144	70	67.126	100	156	128	140	64	67	46	78	53	112	66	61	50	244.04	125	116
ENSG00000147439	975.739	1455.136	1354.999	896.999	1271.354	1385.616	1433.579	1814.02	1504.095	1332.312	1535.704	1565.281	1392.511	1028.021	1298.001	1238.11	1443.345	1437.732	1088.209	1281.192	1365.117	474.747	568.638	647.126	692.031	428.813	687.315	676.972	555.496	1062.077	2624.991	1948.05	1555.603
ENSG00000147443	9.999	10	12	10	15	15	4	7	12	6	12	21	2	7	3	5	1	9	9	5	9	241	361	341	185.131	180	229.001	87.001	187.08	0	2	0	0
ENSG00000147454	5762.354	4901.242	3595.126	5108.436	4975.767	6513.722	5788.137	10007.837	6593.589	6435.909	6480.789	5370.578	5914.21	6958.632	3754.096	3116.703	2948.846	2910.331	7049.198	4805.407	5646.629	378.282	683.052	893.631	882.453	848.781	1069.18	1340.428	776.208	3507.615	6520.643	3853.35	2874.009
ENSG00000147457	5489.769	4385.389	3590.713	4483.321	3968.276	4449.766	5235.783	7708.241	5027.885	3497.398	5111.567	4786.587	3145.159	2707.806	1908.313	2771.996	2989.348	2568.617	3224.35	2238.513	3100.743	809.128	629.372	738.073	819.531	324.745	567.42	634.198	590.213	2217.691	3779.781	3219.094	3003.401
ENSG00000147459	1448.797	1586.006	1285	1096	1348.034	935.999	916	1400	1311.167	868.999	1208.025	1064	1135.03	1188	1046	1607.218	1742.416	1608.001	930	908.013	1096.008	24.001	548.821	369.98	263.137	21.076	53.113	34.019	28.347	1936.001	16901.536	10556.885	12332.34
ENSG00000147465	342.548	317.999	267	220	199.999	201.999	115	268	291.009	83.042	312.282	296.104	192	116.022	202	253.999	297	308.365	95	161.066	178	17	24	19.193	15	20	12	27.43	16	4	6	1	1
ENSG00000147471	5378.379	4800.329	4365.827	4592.363	4853.793	3811.677	4580.783	5488.666	3808.343	2871.484	3401.528	3601.35	2750	2259.56	2246.954	3342.803	2903.368	3044.333	2344.117	2200.637	2858.118	1450.654	1756.837	1847.107	1740.792	1014.998	1451.623	1918.336	1690.257	3183.989	3794.453	1772.001	2030.211
ENSG00000147475	7567.913	8152.911	6079.717	5422.298	6939.332	6833.043	8014.079	10271.576	7932.212	7486.524	7732.104	8000.207	7578.268	7913.421	7822.115	7089.749	7178.157	9197.978	6553.911	6531.615	7120.75	1170.98	1173.086	1282.338	1263.602	1028.986	988.142	1465.553	1458.972	4869.765	8667.439	6551.065	6248.463
ENSG00000147481	18	12	6	22	19.001	70	71.999	67.001	36	197.002	19	35	289.998	216.999	94	78	100	103.999	101	106	130.999	2.001	0	0	1	0	0	0	0	13	0	0	0
ENSG00000147485	4	9	13	13	15	16	13	31	10	5	34	31	6	0	6	12	23	8	2	6	4	5	3	3	9	5	50	3	3	4	3	53	14
ENSG00000147488	0	1	2	0	2	6	2	2	1	0	0	1	1	1	2	0	0	1	2	0	0	1	2	3	3	6	3	2.138	1.055	1	0	0	2
ENSG00000147509	17	28	25	11	21	13	23	32	33.999	68	61.999	22	39	41	29	79.001	107	52.004	34	29	26	231	171	49.001	512.278	32	920.723	314.001	307.025	69.999	820	89.999	222.313
ENSG00000147526	1897.441	1718.749	1173.013	1326.027	1433.229	1670.173	1041.017	1766	1756.053	1754.071	1426.622	1251.957	1405.003	1677.359	1508.002	1257.145	1520.324	1667.307	2020.477	2134.324	2430.012	12202.091	12474.113	12031.612	8959.616	8450.623	8878.013	8661.263	8776.051	9638.735	14281.564	13474.802	13189.001
ENSG00000147533	4640.415	5456.769	4166.998	3849.895	4845.41	4564.889	4950.091	6450.564	5234.917	4345.652	4152.643	4075.189	4746.312	4435.592	4286.277	4307.826	4460.653	4778.307	4279.258	4002.408	4696.249	1080.208	1401.195	1460.069	1236.999	821.192	844	1295.766	1248.334	4968.545	7070.319	4778.13	4146.581
ENSG00000147535	3516.361	3176.089	2550.423	2996.087	2796.708	3939.23	3060.654	4572.103	3779.623	3461.075	3786.027	2787.37	4474.641	4020.65	2792.845	2523.68	2788.204	3157.538	3007.013	3174.807	3608.071	1305.196	1207.001	951.997	1751.52	834.375	1339.199	700.422	1209.834	1604	3458.045	3340.648	1788.547
ENSG00000147536	4770.969	7167.138	7251.781	3644.242	6777.747	5774.793	7691.44	10219.333	8424.57	5583.802	7863.088	9147.307	5495.566	4873.009	7149.631	7168.059	6817.898	7709.618	5353.53	5912.018	6116.114	667.97	981.716	1193.597	1432.804	831.297	709.606	2114.414	1474.231	311.138	3272.625	451.999	1236.051
ENSG00000147548	8296.354	6523.545	5539.089	6968.373	6917.19	6265.922	7767.571	12005.707	8322.122	6484.332	8354.235	7208.545	6534.03	7349.947	5003.072	6442.696	6268.427	5447.496	5993.348	4404.243	6077.841	4601.085	4671.584	4002.352	4413.639	2419.991	4185.539	3952.824	3386.503	6033.311	9752.982	5653.8	6071.956
ENSG00000147570	1	2	0	1	0	2	1	2	2	1	1	0	0	0	0	1	1	0	0	2	0	44.062	26.01	96	31	35.053	27.272	62	10	1	1	4	6
ENSG00000147571	2	2	2	4	0	2	0	2	1	4	0	0	6	2	3.001	3	17	7	8	3	1	0	0	0	0	0	0	0	0	1	1	65	0
ENSG00000147573	16	10	1	5	6	19	9	22	16	3	5	15	12	9	5	8	9	9	7	6	4	10	6	1	12	3	19	30	49	38	1626.993	369.001	114
ENSG00000147576	85.937	165.652	80.591	121.009	177.426	300.971	103.032	214.724	137.704	155.668	447.179	158.459	119.279	217.883	110.684	86.519	107.778	81.512	196.901	166.885	138.051	92.645	108.401	100.038	48.078	33	76.314	24.628	104.105	246.118	583.59	437.01	132.534
ENSG00000147586	2259.87	2603.509	2183.837	1967.484	2354.432	2470.102	3293.105	3865.061	2808.262	3175.418	2271.049	2547.277	2877.494	2653.269	2755.647	2426.14	2579.058	3070.025	2427.47	2278.882	3018.117	506.789	607.547	746.744	695.394	561.241	540.102	795.613	746.967	999.615	1418.074	1082.448	1098.626
ENSG00000147588	0	4	3	0	1	0	1	4	3	0	5	2	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	7	0	0	0
ENSG00000147592	1232.235	1238.081	1014.422	822	1245.042	1175	1597.112	2197.768	1744.582	1526.963	1613.309	1333.518	1531.798	1604.999	1169.42	1118.453	1557.001	1540.14	1443.933	1286.457	1294.783	408	401.435	566.015	469.473	314	292	583	489	1695.979	1300	623	756.031
ENSG00000147596	1316.312	1934.822	3987.024	1050.235	2106.005	1400.305	1854.593	2579.239	2098.01	4134.671	3577.005	2489.129	4504.154	4377.661	7012.538	5454.778	9649.441	5815.97	3693.475	5425.096	5620.923	0	1	0	0	1	0	1	0	0	0	0	0
ENSG00000147601	49603.957	42063.411	49936.175	38870.217	51988.547	36549.569	67438.145	74858.5	59915.829	54148.611	50318.645	54391.558	68815.488	50736.64	50081.851	45207.056	51894.903	46143.143	56609.547	51074.038	58826.281	475.844	616.339	816.343	732.391	398.541	544.707	801.868	583.954	2285.564	2888.6	2177.045	1844.408
