JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000003147	3910.486	4213.055	2348.221	2979.118	3479.758	3568.673	3287.715	5468.635	4417.779	3108.111	3073.493	3059.189	3101.509	2545.994	1706.414	2428.358	2313.135	2734.02	2290.316	2139.069	2476.992	71	24.999	131.999	41.001	31.999	79	52	95	8	0	9	1
ENSG00000003249	7825.628	9659.134	10180.052	6274.246	8550.09	5581.787	6342.103	10349.616	8925.148	9222.895	11823	8150.931	10790.239	8503.838	11331.626	9705.839	10087.038	10562.921	7619.272	9621.779	10081.611	927.001	514	1522.671	368.001	188.357	363.004	135.999	726.107	46	206.009	102.001	89
ENSG00000003393	6166.726	6197.523	5036.143	4834.076	5954.569	5948.316	6115.679	10122.468	7226.38	4719.409	6594.765	6291.509	4710.57	4732.263	3161.08	4957.045	4909.486	5603.752	4594.97	3675.962	4709.141	632.016	657	605.127	884.001	512	655.077	506	623.205	3291.511	5014.799	5169.14	4182.76
ENSG00000003400	369.999	337.001	185.999	256.004	278	195	224	412	398.028	132	393.937	283.001	424	297.001	301.005	313.034	395.044	379	136	104.027	124.001	487.491	552.375	1149.062	681.352	101.162	604.534	462.227	654.374	582.999	494.999	480.999	111
ENSG00000003402	1079	1197	880.999	821.002	1041.057	1485.009	914.007	1374.999	1129.155	1266.219	1365.125	981.013	1866.098	1925.958	1484.001	1085.056	1223.002	1202	1654.949	1493.062	1508.565	12198.655	6351.358	9581.702	10203.534	4365.728	6518.362	5580.717	7594.196	6246.614	8391.764	6602.408	6092
ENSG00000003436	276.028	589.928	520.001	160	248	238	162.001	208	306	213	199.075	184	180.999	63	167.063	545.116	577	531	131.999	140	104	73.908	107.885	128.75	136.544	45.442	146.2	84.219	89.691	3244.938	3760.937	2069.864	1016.001
ENSG00000003509	2785.13	3469.879	3346.381	2388.998	4006.785	2778.148	3967.653	5788.923	4096.538	4442.607	5048.052	4073.469	3454.244	5531.175	4274.618	4570.176	5181.124	4346.124	3558.277	2965.014	3646.35	549.961	643.783	556.984	731.874	431.308	665.309	703.756	610.529	990	1309.385	1154.997	1210.957
ENSG00000003756	7223.665	6238.205	7614.974	6615.135	8321.513	8524.208	8397.779	10914.964	7502.361	7106.69	9306.861	7534.68	5800.162	6914.877	5449.183	5931.944	7321.203	5128.522	7234.313	5721.669	6598.452	5016.491	5805.313	5790.774	5757.603	3683.872	6162.011	4307.933	5212.896	8432.478	12712.701	10835.433	10742.263
ENSG00000003987	1460.002	1538.362	950	1178.002	1061	1285.42	755.666	1329.155	1086.999	636	1205.167	964.003	531	373	412	658.026	895.013	943.075	908.192	926	783.21	38.528	52.064	70.464	74.03	96.422	73.044	65.554	64.734	35	0	9	20
ENSG00000003989	2344.006	2364.332	1952.024	1741.035	2501.107	1987.067	2044	3806.095	2899.157	2415	2661.131	2494.12	2414.542	2801.457	2749.007	3274.313	3189.825	3745.189	2787.256	2572.119	3168.074	10	7	8	22	5	5	4	37	346	1	0	2
ENSG00000004059	14507.422	14019.106	9871.817	12250.916	12065.597	13485.881	13024.626	17025.917	13227.959	12652.531	14115.521	11173.97	11977.372	8291.007	7936.248	8235.675	9004.193	9879.351	9507.79	9703.502	11036.089	1378.326	1673.938	2016.137	1865.276	1552.329	2007.519	1966	1901.631	5804.046	8157.733	6573.525	6080.028
ENSG00000004139	417	599.049	719.001	346.044	392.056	538	574.012	691	650.052	184	366.003	679.097	144	111	148	235.228	293	266	244	230	204.034	937.744	965.657	973.024	1138.963	936.719	1175.897	1130.031	889.929	1259.001	1615.548	1098	1035.062
ENSG00000004142	8768.861	10207.951	8263.878	7043.595	9079.96	8655.922	9969.185	12550.108	9737.997	8447.734	8361.049	8847.58	8195.93	6782.067	8761.655	7576.225	7678.61	9474.062	6873.177	7152.697	9109.622	2310.227	2937.867	3156.955	3123.371	2414.16	2372.837	3974.54	2734.289	5552.386	10074.512	6936.554	7710.146
ENSG00000004399	10121.135	10641.712	7153.568	7640.559	8532.249	10620.792	7787.993	15596.122	13532.326	7139.319	9365.115	10164.296	5664.219	4635.153	3374.395	8812.617	7889.345	7826.624	6092.644	5038.082	5771.601	37	33	66	37	55	37.001	27	33	12435.485	9934.849	11795.896	7625.975
ENSG00000004455	8868.526	9940.421	8900.764	7392.571	9447.157	9460.964	12049.949	14809.929	10786.571	9482.199	9094.056	9814.393	9096.268	8393.006	9091.095	6918.371	7216.924	8295.181	8683.364	8347.694	9219.129	5813.577	6103.319	7012.438	6836.407	4827.321	5228.099	7911.45	5927.98	6096.849	8793.779	6761.512	7417.412
ENSG00000004468	125	81	34	116	41	98	28	61	68	38	68	36	65	81	57	21	51	61	88.007	52	48	3117.597	910.08	5771.942	1753.967	182.706	305.493	365.798	1307.99	5	0	0	0
ENSG00000004478	30799.847	26278.064	24337.933	24364.044	26608.308	22556.269	42346.282	50424.18	38343.224	37324.498	17634.526	30734.277	29620.492	23511.351	23623.653	30738.468	26319.584	33330.526	26211.913	21777.433	33237.136	2703.986	2425.711	2979.648	2956.211	2678.199	2849.675	5545.093	3073.945	3445.096	3482.78	3095.965	2817.299
ENSG00000004487	36895.981	41886.801	32047.991	29063.572	37049.088	38817.625	39571.891	54018.203	39959.456	32663.046	38583.116	39158.557	36166.912	30450.729	34385.464	33271.408	32584.815	37538.014	31511.573	31125.669	38881.53	2455.006	3158.68	2941.613	3112.003	2663.556	2123.001	3406.265	2955.048	5066.247	6584.399	4659.992	5214.657
ENSG00000004534	10914.909	11428.003	9423.343	8892.678	10770.755	10618.32	10171.328	17519.983	11557.603	11345.105	12194.43	10569.992	11034.679	10679.251	8362.762	9467.097	8615.748	8615.703	9909.111	8673.712	10699.854	4509.607	4532.624	5095.808	5741.816	2562.863	4172.308	4135.008	4703.102	8867.803	7808.067	6180.495	5895.725
ENSG00000004660	1096	1539.878	1018	1000.002	1124	1330.081	1103.179	1642.002	1191	1265.224	1195.127	963.163	955.999	1116.138	789.124	856.258	1047.892	1075	854.102	887.726	1216.837	81	56.013	133.019	89.018	126.999	134.162	103.002	81.005	431	1170.102	1311.3	1048.045
ENSG00000004700	5869.565	6763.655	5366.741	4484.826	5300.724	5546.837	5361.608	8089.248	6634.62	4339.122	6806.596	5991.013	5593.24	5047.43	5238.619	5935.557	6423.362	6597.233	4754.262	4310.376	4889.219	2046.683	2446.38	2567.728	2790.572	1812.994	1585.984	3631.187	2023.618	5844.957	12246.325	7598.651	8272.797
