L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000006451	1236.458	1383.768	1477.385	1403.076	723	1082	1298.734	1587
ENSG00000006453	451.848	173.789	371.347	585.496	1458.52	1566.697	1070.847	1246.995
ENSG00000006459	81	111	80	283.017	72	103	175	86
ENSG00000006468	1	3	2	3	6	4	3	2
ENSG00000006530	1807.761	1411.688	1837.77	1682.59	1205.169	1465.339	1683.533	1406.037
ENSG00000006534	19.942	15.657	47.895	19.135	9.376	24.207	26	25.293
ENSG00000006555	62.194	38.138	73.999	100.815	41	44.767	74	28
ENSG00000006576	1824.358	1908.999	2092.232	2092.531	1067.019	1510.084	2011.789	1237.008
ENSG00000006606	0	0	0	1	0	0	0	0
ENSG00000006607	1351.551	1271.596	1342.785	1553.516	1088.28	1382.082	1601.018	1250.426
ENSG00000006611	0	2	0	2	0	2	0	0
ENSG00000006625	609.864	977.575	951.981	1002.766	845.083	908.522	1506.865	929.83
ENSG00000006634	1190.129	1307.742	1610.52	1522.635	960.135	979.81	2083.511	1368.2
ENSG00000006638	6.84	25.766	37.453	14.518	7.214	10.483	4.234	14.219
ENSG00000006652	1179.742	1204.028	1279.931	1326.742	854.17	1275	1039.93	1039.849
ENSG00000006659	338	71	62	179	19	175	79	30
ENSG00000006695	599.585	744.255	863.554	692.111	450.933	534.96	721.055	650.576
ENSG00000006704	78.08	223.156	293.174	183.999	108.849	330.187	321.202	161.084
ENSG00000006712	1103.67	1396.972	1726.977	1581.73	1075.095	1152.194	1628.472	1239.017
ENSG00000006715	2283.214	2431.551	2573.893	2239.522	2070.29	2080.096	1958.686	1894.656
ENSG00000006740	201.063	266.068	116.037	512.576	40.003	719	895.061	75.018
ENSG00000006744	1616.882	2255.73	2337.285	2507.281	2122.113	2045.006	3777.975	2401.195
ENSG00000006747	95.481	66.237	621.849	31.827	7.936	16.445	38.952	27.555
ENSG00000006756	14	58	315.127	135.414	42	84.274	95.237	201.218
