JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3
ENSG00000005339	6695.129	6702.089	9599.748	5686.949	7200.267	7001.147	7307.196	10481.005	9031.95	6257.772	10869.879	9058.237	6328.209	7506.737	7755.153	7338.987	8755.325	6982.232	6487.497	6372.479	7079.078
ENSG00000005379	770.13	869.082	642.001	733.999	567.728	1259.129	550.163	1128	1074	405.002	2224.787	715.217	371	342.001	181.001	306.999	388	377.002	474.023	430.001	385
ENSG00000005381	16	21	7	17	5	6	4	47	88	1	26	19	3	8	1	18	20	26	3	6	1
ENSG00000005421	138	151	110	82	89	152	20	15	18	5	35	24	13	7	7	35	25	34	7	12	15
ENSG00000005436	1231.833	1785.068	1572	899	1499.437	2347.172	2497.843	2924.388	2247.139	1613.907	2416.444	2007.056	1310.023	1542.141	1737.913	1398.815	1708.867	1953	1616.115	1771.999	1813.999
ENSG00000005448	3061.191	2965.857	2124.265	2763.071	3010.129	3474.096	2639.369	3401.873	2399.802	2274.801	2889.981	2107.933	1680.475	2242.24	1570.321	1477.505	1712.185	1391.268	3252.797	2075.446	1900.905
ENSG00000005469	373.999	450.018	306.999	328.925	491	582.054	436.001	804.001	694	329.001	713.18	445.001	255	279	139	309.019	433.011	269	337.001	302.042	292
ENSG00000005471	374.023	218.001	105.999	331.129	240	462	80.999	278.001	249	24	196.999	142.999	70.001	67	31	73	114	85	69	62.007	47
ENSG00000005483	5842.221	4529.053	4019.274	5148.091	4607.153	6186.754	4337.495	5889.856	4333.831	4239.619	7369.074	3758.818	4372.166	4704.116	3458.876	3204.553	3419.409	2741.282	5291.187	3386.02	4430.277
ENSG00000005486	6198.582	5524.037	4046.205	5512.35	3513.11	5776.65	2746.718	3839.999	3821.555	1870.186	4534.509	3243.113	2780.353	1710.892	2343.001	2185.541	2391.731	2938.78	2366.152	2825.217	2325.003
ENSG00000005513	1092.291	1457.97	1317	851.738	937	665	754	1029.057	808	2116.031	808.961	728.052	1735.008	1525.104	1472.465	1182.097	1146.099	1570.385	1613.205	1667.044	2551.732
ENSG00000005700	4964.82	5950.357	4555.64	3540.91	4697.16	4386.925	5049.006	7365.083	5580.905	3850.523	4730.297	5270.624	4436.311	4090.552	3682.336	5353.123	4646.638	5505.381	3977.334	3625.452	4567.672
ENSG00000005801	4941.334	5860.092	6107.198	3994.527	5754.102	6247.66	7230.722	10971.383	7813.569	6725.704	6246.644	7947.216	5920.63	5900.947	8139.678	6488.342	7093.316	6897.168	4756.341	5097.619	4984.701
ENSG00000005810	3532.979	3736.287	3150.114	2842.014	4063.872	3578.412	3965.138	7182.77	5343.535	2971.192	4214.314	4195.288	3433.12	4219.038	3279.61	4140.385	3931.169	3983.185	3119.069	2798.411	3883.737
ENSG00000005812	1074	1316.026	1284	795	1119	1157.01	1476.877	1667.168	1337	1197	1399.284	1285	1169.022	1242.042	1693.185	1434.016	1915.261	1684.337	1873	1568.01	1724.003
ENSG00000005844	14	15	11	32	25	22	4	11	8	3	40	15	3	24.016	1	17	13	12	1	3	2
ENSG00000005882	1207.046	1374.324	1403.671	1019	1779.003	2289.094	1985.017	2805.296	2052.018	1425.002	2814.34	1911.604	1235.989	1374.265	829	950.048	1391.992	994.999	1169.027	1177	1218
ENSG00000005884	7409.166	7784.607	4958.999	5236.646	4348.019	4018.926	2703.55	4488.569	4049.972	3414.68	2855.163	3398.438	2719.04	2605.999	1656.398	4186.268	3673.322	3955.445	2896.869	2519.012	3118.514
ENSG00000005889	1041.001	947.015	1291.139	854.389	1168.001	1235.144	1408.328	1659.181	1383.784	1271.867	1395.007	1248.016	1382	1455.91	1264.001	2017.882	2625.688	2066.242	1312	1082.999	1147
ENSG00000005893	7167.103	5733.811	4454	5596.19	5281.775	6715.054	6576.174	9478.737	7756.842	5791.556	7509.48	5801.019	6582.663	6494.703	4474.28	5211.043	4974.938	5737.343	5701.386	4703.941	5390.965
ENSG00000005961	860.179	1004.021	339.001	884.282	661	1008.569	401.19	1307.907	920.001	674.107	1237.329	693.074	894.998	823	378.001	473.003	493.382	435.006	959.001	645.135	610.003
ENSG00000005981	6	10	5	3	7	0	2	13	10	3	7	1	1	4	1	1	9	5	6	1	10
ENSG00000006007	8601.87	8264.754	6718.259	6963.536	7904.484	8759.129	7583.857	10967.06	8199.328	5727.363	6218.779	7294.911	7773.535	6091.435	6375.217	6167.285	6483.204	7447.068	6666.492	6348.147	7771.036
ENSG00000006015	2997.799	2980.045	2852.489	2713.428	3052.58	2893.133	3609.468	4398.692	3214.756	3509.441	3318.015	3246.875	2990.969	2554.043	2468.002	2013.036	2001.003	2457.827	2664.473	2486.817	2903.673
ENSG00000006016	1397.276	458	276	1225.029	542	804.018	599	690.001	870.332	3362.996	365.999	311	3051.229	2886.09	1914.331	1245.013	1527.816	2118.097	4851.381	3654.362	5024.033
ENSG00000006025	605.001	988	882	578.999	1065	1271	894.011	1891.158	1136.999	1027.026	1215.006	1167.001	897	1275.254	894.6	733.015	801.001	807.413	811	676.994	993.999
ENSG00000006042	7356.582	7400.809	7387.859	5733.468	5527.4	5928.325	4010.649	6075.041	6282.666	4668.254	7054.739	5333.461	6732.372	4207.343	6058.41	4817.153	5969.655	6202.845	4868.302	5977.668	6038.525
ENSG00000006047	2723.16	2584.116	1586	2247.974	1809.056	3687.51	1364.545	3069.015	2641.968	1462.001	4271.756	1814.5	2646.222	1671.122	1084.6	1098.375	1295.034	1028.095	1914.094	1788.185	1678.099
ENSG00000006062	1268.39	1519.109	1445	1009.067	944.228	512.091	1101.016	1328.117	1100	415	1528	991.143	295	297.007	282	679	806.02	463.001	346	240	387.001
ENSG00000006071	157	205.001	108.979	91	139.001	241	67	190	174	44.999	174.001	108.999	44.999	37.001	38	133	163.99	81.999	44.999	83	77.001
ENSG00000006116	26	4	3	22	0	0	0	3	0	0	9	7	2	4	1	1	0	4	0	1	1
ENSG00000006118	4279.001	6209.878	7069.247	3970.032	6137.648	8061.072	7806.314	9030.556	7058.919	7595.683	9775.52	8376.529	5704.907	4373.325	5551.304	4241.824	4645.654	4921.956	5868.47	6035.113	6940.311
ENSG00000006125	34589.718	32960.231	24727.448	27597.042	28609.69	27157.28	26935.516	38731.387	28868.566	23562.7	29067.767	30071.566	28456.476	26970.779	25325.714	26082.27	27139.229	28757.784	26401.729	22976.72	28693.8
ENSG00000006128	843.012	1137.214	710.486	501	164.001	117.001	96.999	185	212.931	24	133.001	339	36.999	49	17	211.056	138	168.999	15	15	20
ENSG00000006194	3772.662	3937.959	4051.628	3183.451	3530.125	4126.205	3753.685	5142.445	3769.967	3264.089	4017.155	4094.041	3487.104	3352.67	4341.885	3015.506	3345.35	3737.282	2401.165	2874.468	3018.194
ENSG00000006210	300.054	456.04	437	257	445.012	705.124	292	759	686	69	1091.317	498.002	31	23	44.005	168	195.001	226	35	81	32
ENSG00000006282	3296.337	3374.808	2679.697	2835.231	3750.442	4018.845	981.544	1512.672	1085.602	1006.096	1815.005	1115.933	2034.841	2288.642	2020.551	1308.129	1678.257	1983.04	2532.517	2329.337	2862.002
ENSG00000006283	603.034	417.001	305.999	523.001	282	663.999	327	721.001	665.999	743.021	950.785	594	999.089	453	249	376.001	418	516.001	484.001	499.309	627.605
ENSG00000006327	8314.18	7003.99	8286.995	7361.681	4911.003	4615.532	5320.764	6567.603	6396.233	6099.854	6369.753	4953.359	6583.652	5086.904	5882.641	6177.53	5044.687	7543.543	4846.524	4568.021	5470.212
ENSG00000006377	8	3	11	6	17	0	0	10	4	3	24	2	4	1	4	1	5	1	1	0	1
ENSG00000006432	3527.478	3187.781	2119	3259.264	2699.238	2449.116	2214.11	3088.336	2330.2	2301.292	2698.976	2213.123	2378.167	2956.911	2184.05	2284.353	2069.45	1950.012	2711.442	1792	2652
ENSG00000006451	12980.102	11680.904	8907.502	10168.159	9616.12	9760.265	10246.636	14421.33	11608.32	9673.953	8207.716	8945.287	9973.85	10559.856	9079.526	9523.169	9731.178	10216.19	9125.647	7974.677	9307.872
ENSG00000006453	6458.005	6234.77	5152.385	5591.697	5677.157	6047.469	5567.429	9140.029	6897.373	4127.752	6806.799	6007.367	4175.251	4165.061	3397.895	5263.536	5429.733	4461.501	4293.131	3700.542	4441.351
ENSG00000006459	3368.602	2692.85	1339	2750.108	1839	1954	1937.075	3010.033	2072.009	2555.201	2063	1564.005	2723.055	3616.091	1960.544	2179.069	2068	1688	3447.09	1831	2775.105
ENSG00000006468	9722.441	9190.35	8514.708	8067.564	9087.169	9616.47	10207.983	11836.936	8844.771	6504.706	5659.366	8598.77	6693.971	6462.385	6911.056	8235.123	7984.445	7266.489	6948.643	5904.576	7130.389
ENSG00000006530	5387.841	4847.034	3306.644	4926.478	4258.303	4971.114	4986.639	6650.017	5361.733	4781.156	4157.572	4173.372	4655.347	3699.733	3643.52	3724.529	3381.717	4515.381	4336.244	3681.481	4507.591
ENSG00000006534	21	31	8	8	34.001	29	14	37.999	29	4	61.027	18	10	16	3	18	31	23	2	11	0
