JL	Control_1	Control_2	Control_3
ENSG00000011007	3436.474	6547.957	5206.731	5052.398
ENSG00000011009	1703.954	2907.297	2664.661	2658.08
ENSG00000011021	4223.624	1719	1527.004	1342.47
ENSG00000011028	63910.42	57665.11	67151.889	48464.306
ENSG00000011052	898.935	486.18	1182.594	1262.682
ENSG00000011083	2	0	0	6
ENSG00000011105	3175.347	2421.804	3648.001	2312.009
ENSG00000011114	0	0	0	0
ENSG00000011132	621.074	1115.261	803.999	612
ENSG00000011143	727.093	867	567.999	581.001
ENSG00000011198	2155.574	4180.453	2982.732	1924.037
ENSG00000011201	1	14	32	1
ENSG00000011243	3175.379	3041.166	2688.937	2135.006
ENSG00000011258	1185.001	1278.056	1003	863
ENSG00000011260	2380.986	2046.872	1530	1673.618
ENSG00000011275	4114.294	6228.409	4638.923	4310.074
ENSG00000011295	2019.411	2123.097	2431.195	1745.141
ENSG00000011304	13890.929	30930.054	17300.987	19747.857
ENSG00000011332	44	464	150	273
ENSG00000011347	191	138	10	10
ENSG00000011376	1414	2720.316	1561	1758.372
ENSG00000011405	5239.678	6684.081	4371.159	5306.505
ENSG00000011422	1860.045	5554.32	7375.537	4093.379
ENSG00000011426	1375.547	32100.573	2784.036	14298.086
ENSG00000011451	4662.143	9363.77	5466.085	4537.703
ENSG00000011454	7300.679	8831.558	9555.038	36808.837
ENSG00000011465	359033.314	233458.953	20831.863	93148.948
ENSG00000011478	344	665.073	747	596
ENSG00000011485	5232.106	8102.606	4905.657	4910.661
ENSG00000011523	1260.977	2352.661	1499.302	1349.003
ENSG00000011566	2488.753	3531.526	2444.119	2480.857
ENSG00000011590	0	1	5	0
ENSG00000011600	0	0	2	0
ENSG00000011638	2838.581	1392.126	2066.35	1027
ENSG00000011677	0	0	0	0
ENSG00000012048	536	5292.51	600	1646.419
ENSG00000012061	4602.919	6469.322	4567.019	4998.472
ENSG00000012124	3	25	8	1
ENSG00000012171	834.813	1500.495	4198.2	2480.045
ENSG00000012174	2294.559	5170.44	3728.226	3191.984
ENSG00000012211	542.02	870.294	589	513.377
ENSG00000012223	0	0	9	0
ENSG00000012232	4675.653	8123.713	5187.438	4121.102
ENSG00000012504	0	1	0	0
ENSG00000012660	13584.971	14297.901	8865.555	11119.309
ENSG00000012779	0	0	0	0
ENSG00000012817	2798.697	3677.887	2944.045	4046.995
ENSG00000012822	10465.796	19606.584	18706.825	11857.913
ENSG00000012963	2208.851	7115.618	2799.41	2638.226
ENSG00000012983	9796.171	15582.915	9850.457	9783.134
ENSG00000013016	3099.831	7516.755	7381.003	3773.056
ENSG00000013275	4203.413	5462.884	4959.171	4566.07
ENSG00000013288	10225.506	8988.254	11407.562	6947.085
ENSG00000013293	598	162	13	50
ENSG00000013297	31544.008	12279.618	188	9977.58
ENSG00000013306	3710.306	7546.123	5455.209	4385.871
ENSG00000013364	18675.926	23577.172	18993.899	18101.683
ENSG00000013374	4645.532	6758.508	5088.52	4330.369
ENSG00000013375	5073.526	8963.772	9294.521	8748.594
ENSG00000013392	586	711.009	835.208	611.013
ENSG00000013441	2927.534	5073.844	3121.112	3951.28
ENSG00000013503	848.2	2081.432	1286.068	1354
ENSG00000013523	1112.019	950.003	1065.289	866
ENSG00000013561	4290.981	6152.454	5706.386	4264.613
ENSG00000013563	932.34	3090.73	3397.37	1422.158
ENSG00000013573	804.603	2221.829	663.503	983.361
ENSG00000013583	3712.601	3867.887	4852.775	3133.207
ENSG00000013588	215	1171.007	388	577
ENSG00000013619	3547.652	3599.848	7312.267	2622.007
ENSG00000013725	0	0	0	0
ENSG00000013810	695	9558.919	1041.999	4025.29
ENSG00000014123	3230.477	5547.764	4092.206	4024.46
ENSG00000014138	292.102	2783.164	632.228	1298.218
ENSG00000014164	1203.04	1528.007	664.9	662.091
ENSG00000014216	10070.171	16165.14	12504.658	11925.17
ENSG00000014257	0	27	0	0
ENSG00000014641	8979.03	9948	7735.288	8463.132
ENSG00000014824	5014.781	9615.325	6722.041	6307.775
ENSG00000014914	940.999	2976.412	2231.407	1525.007
ENSG00000014919	1498.846	2509.848	1666.091	1772.619
ENSG00000015133	1	11	1	2
ENSG00000015153	983	1744.084	1692.971	1472.999
ENSG00000015171	9098.058	12901.527	10060.885	7720.044
ENSG00000015285	9	14	5	7
